"","MONTH","OP_CARRIER","ORIGIN","DEP_DELAY"
"509",1,"WN","PDX",42
"510",1,"WN","PDX",13
"511",1,"WN","PDX",-1
"512",1,"WN","PDX",-3
"513",1,"WN","PDX",8
"514",1,"WN","PDX",74
"515",1,"WN","PDX",17
"516",1,"WN","PDX",-1
"517",1,"WN","PDX",-3
"518",1,"WN","PDX",-1
"519",1,"WN","PDX",3
"520",1,"WN","PDX",16
"521",1,"WN","PDX",18
"522",1,"WN","PDX",-1
"523",1,"WN","PDX",9
"524",1,"WN","PDX",-2
"525",1,"WN","PDX",0
"526",1,"WN","PDX",18
"527",1,"WN","PDX",-1
"528",1,"WN","PDX",-4
"529",1,"WN","PDX",0
"530",1,"WN","PDX",-4
"531",1,"WN","PDX",-1
"532",1,"WN","PDX",0
"533",1,"WN","PDX",-3
"534",1,"WN","PDX",2
"535",1,"WN","PDX",0
"536",1,"WN","PDX",-4
"537",1,"WN","PDX",-5
"538",1,"WN","PDX",-2
"539",1,"WN","PDX",-5
"540",1,"WN","PDX",-2
"541",1,"WN","PDX",-3
"542",1,"WN","PDX",0
"543",1,"WN","PDX",-1
"544",1,"WN","PDX",0
"545",1,"WN","PDX",3
"546",1,"WN","PDX",-5
"547",1,"WN","PDX",1
"548",1,"WN","PDX",-5
"549",1,"WN","PDX",-7
"550",1,"WN","PDX",-5
"551",1,"WN","PDX",-4
"552",1,"WN","PDX",1
"553",1,"WN","PDX",-3
"554",1,"WN","PDX",-8
"555",1,"WN","PDX",-2
"556",1,"WN","PDX",21
"557",1,"WN","PDX",-2
"558",1,"WN","PDX",6
"559",1,"WN","PDX",0
"560",1,"WN","PDX",-4
"561",1,"WN","PDX",9
"562",1,"WN","PDX",0
"563",1,"WN","PDX",-2
"564",1,"WN","PDX",-6
"565",1,"WN","PDX",1
"566",1,"WN","PDX",3
"567",1,"WN","PDX",-4
"568",1,"WN","PDX",0
"569",1,"WN","PDX",2
"570",1,"WN","PDX",-4
"571",1,"WN","PDX",9
"572",1,"WN","PDX",0
"573",1,"WN","PDX",1
"574",1,"WN","PDX",16
"575",1,"WN","PDX",0
"576",1,"WN","PDX",-4
"577",1,"WN","PDX",-8
"578",1,"WN","PDX",3
"579",1,"WN","PDX",-1
"580",1,"WN","PDX",-3
"581",1,"WN","PDX",-1
"582",1,"WN","PDX",16
"583",1,"WN","PDX",1
"584",1,"WN","PDX",-2
"585",1,"WN","PDX",-2
"586",1,"WN","PDX",5
"587",1,"WN","PDX",1
"588",1,"WN","PDX",0
"589",1,"WN","PDX",-3
"590",1,"WN","PDX",54
"591",1,"WN","PDX",-3
"592",1,"WN","PDX",-4
"593",1,"WN","PDX",63
"594",1,"WN","PDX",2
"595",1,"WN","PDX",2
"596",1,"WN","PDX",-2
"597",1,"WN","PDX",-3
"598",1,"WN","PDX",0
"599",1,"WN","PDX",1
"600",1,"WN","PDX",18
"601",1,"WN","PDX",-6
"602",1,"WN","PDX",-8
"603",1,"WN","PDX",23
"604",1,"WN","PDX",7
"605",1,"WN","PDX",-5
"606",1,"WN","PDX",-4
"607",1,"WN","PDX",-1
"608",1,"WN","PDX",7
"609",1,"WN","PDX",-3
"610",1,"WN","PDX",-4
"611",1,"WN","PDX",6
"612",1,"WN","PDX",-5
"613",1,"WN","PDX",-5
"614",1,"WN","PDX",-1
"615",1,"WN","PDX",-5
"616",1,"WN","PDX",-2
"617",1,"WN","PDX",19
"618",1,"WN","PDX",-2
"619",1,"WN","PDX",-4
"620",1,"WN","PDX",6
"621",1,"WN","PDX",3
"622",1,"WN","PDX",-1
"623",1,"WN","PDX",-1
"624",1,"WN","PDX",-4
"625",1,"WN","PDX",-1
"626",1,"WN","PDX",-4
"627",1,"WN","PDX",-1
"628",1,"WN","PDX",6
"629",1,"WN","PDX",-2
"630",1,"WN","PDX",6
"631",1,"WN","PDX",-5
"632",1,"WN","PDX",-3
"633",1,"WN","PDX",-5
"634",1,"WN","PDX",-5
"635",1,"WN","PDX",-3
"636",1,"WN","PDX",-5
"637",1,"WN","PDX",-6
"638",1,"WN","PDX",-1
"639",1,"WN","PDX",8
"640",1,"WN","PDX",-2
"641",1,"WN","PDX",-1
"642",1,"WN","PDX",6
"643",1,"WN","PDX",-3
"644",1,"WN","PDX",-2
"645",1,"WN","PDX",-5
"646",1,"WN","PDX",-1
"647",1,"WN","PDX",5
"648",1,"WN","PDX",-4
"649",1,"WN","PDX",5
"650",1,"WN","PDX",2
"651",1,"WN","PDX",-5
"652",1,"WN","PDX",9
"653",1,"WN","PDX",-1
"654",1,"WN","PDX",66
"655",1,"WN","PDX",-7
"656",1,"WN","PDX",-1
"657",1,"WN","PDX",1
